"code_point","char","utf8","name","multiascii","ascii"
"U+00100+","ȁ","c881","LATIN SMALL LETTER A WITH DOUBLE GRAVE (U+0201)","a","a"
"U+00100+","Ȃ","c882","LATIN CAPITAL LETTER A WITH INVERTED BREVE (U+0202)","A","A"
"U+00100+","ȃ","c883","LATIN SMALL LETTER A WITH INVERTED BREVE (U+0203)","a","a"
"U+00100+","Ȅ","c884","LATIN CAPITAL LETTER E WITH DOUBLE GRAVE (U+0204)","E","E"
"U+00100+","ȅ","c885","LATIN SMALL LETTER E WITH DOUBLE GRAVE (U+0205)","e","e"
"U+00100+","Ȇ","c886","LATIN CAPITAL LETTER E WITH INVERTED BREVE (U+0206)","E","E"
"U+00100+","ȇ","c887","LATIN SMALL LETTER E WITH INVERTED BREVE (U+0207)","e","e"
"U+00100+","Ȉ","c888","LATIN CAPITAL LETTER I WITH DOUBLE GRAVE (U+0208)","I","I"
"U+00100+","ȉ","c889","LATIN SMALL LETTER I WITH DOUBLE GRAVE (U+0209)","i","i"
"U+00100+","Ȋ","c88a","LATIN CAPITAL LETTER I WITH INVERTED BREVE (U+020A)","I","I"
"U+00100+","ȋ","c88b","LATIN SMALL LETTER I WITH INVERTED BREVE (U+020B)","i","i"
"U+00100+","Ȍ","c88c","LATIN CAPITAL LETTER O WITH DOUBLE GRAVE (U+020C)","O","O"
"U+00100+","ȍ","c88d","LATIN SMALL LETTER O WITH DOUBLE GRAVE (U+020D)","o","o"
"U+00100+","Ȏ","c88e","LATIN CAPITAL LETTER O WITH INVERTED BREVE (U+020E)","O","O"
"U+00100+","ȏ","c88f","LATIN SMALL LETTER O WITH INVERTED BREVE (U+020F)","o","o"
"U+00100+","Ȑ","c890","LATIN CAPITAL LETTER R WITH DOUBLE GRAVE (U+0210)","R","R"
"U+00100+","ȑ","c891","LATIN SMALL LETTER R WITH DOUBLE GRAVE (U+0211)","r","r"
"U+00100+","Ȓ","c892","LATIN CAPITAL LETTER R WITH INVERTED BREVE (U+0212)","R","R"
"U+00100+","ȓ","c893","LATIN SMALL LETTER R WITH INVERTED BREVE (U+0213)","r","r"
"U+00100+","Ȕ","c894","LATIN CAPITAL LETTER U WITH DOUBLE GRAVE (U+0214)","U","U"
